Molecule,poly_A,Site Index,0,Site Type, L_a
Time, Free, Bound,State0,
0.0,30,0,30,
0.001000000000002041,30,0,30,
0.002000009999996102,30,0,30,
0.0030000099999901633,30,0,30,
0.0040000099999842244,30,0,30,
0.005000009999978286,30,0,30,
0.006000009999972347,30,0,30,
0.007000009999966408,30,0,30,
0.00800000999996047,30,0,30,
0.00900000999995453,30,0,30,
0.010000009999948592,30,0,30,
0.011000009999942653,30,0,30,
0.012000009999936714,30,0,30,
0.013000009999930775,30,0,30,
0.014000009999924836,30,0,30,
0.015000009999918898,30,0,30,
0.016000009999978013,30,0,30,
0.017000000000145545,30,0,30,
0.018000000000313078,30,0,30,
0.01900000000048061,30,0,30,
0.020000000000648145,30,0,30,
0.02100000000081568,30,0,30,
0.022000000000983212,30,0,30,
0.023000000001150746,30,0,30,
0.02400000000131828,30,0,30,
0.025000000001485813,30,0,30,
0.026000000001653346,30,0,30,
0.02700000000182088,30,0,30,
0.028000000001988413,30,0,30,
0.029000000002155947,30,0,30,
0.03000000000232348,30,0,30,
0.031000000002491014,30,0,30,
0.03200000000265855,30,0,30,
0.03300000000282608,30,0,30,
0.034000000002993615,30,0,30,
0.03500000000316115,30,0,30,
0.03600000000332868,30,0,30,
0.037000000003496215,30,0,30,
0.03800000000366375,30,0,30,
0.03900000000383128,30,0,30,
0.040000000003998816,30,0,30,
0.04100000000416635,30,0,30,
0.04200000000433388,30,0,30,
0.04300000000450142,30,0,30,
0.04400000000466895,30,0,30,
0.045000000004836484,30,0,30,
0.04600000000500402,30,0,30,
0.04700000000517155,30,0,30,
0.048000000005339084,30,0,30,
0.04900000000550662,30,0,30,
0.05000000000567415,30,0,30,

Molecule,poly_A,Site Index,1,Site Type, L_a
Time, Free, Bound,State0,
0.0,30,0,30,
0.001000000000002041,30,0,30,
0.002000009999996102,30,0,30,
0.0030000099999901633,30,0,30,
0.0040000099999842244,30,0,30,
0.005000009999978286,30,0,30,
0.006000009999972347,30,0,30,
0.007000009999966408,30,0,30,
0.00800000999996047,30,0,30,
0.00900000999995453,30,0,30,
0.010000009999948592,30,0,30,
0.011000009999942653,30,0,30,
0.012000009999936714,30,0,30,
0.013000009999930775,30,0,30,
0.014000009999924836,30,0,30,
0.015000009999918898,30,0,30,
0.016000009999978013,30,0,30,
0.017000000000145545,30,0,30,
0.018000000000313078,30,0,30,
0.01900000000048061,30,0,30,
0.020000000000648145,30,0,30,
0.02100000000081568,30,0,30,
0.022000000000983212,30,0,30,
0.023000000001150746,30,0,30,
0.02400000000131828,30,0,30,
0.025000000001485813,30,0,30,
0.026000000001653346,30,0,30,
0.02700000000182088,30,0,30,
0.028000000001988413,30,0,30,
0.029000000002155947,30,0,30,
0.03000000000232348,30,0,30,
0.031000000002491014,30,0,30,
0.03200000000265855,30,0,30,
0.03300000000282608,30,0,30,
0.034000000002993615,30,0,30,
0.03500000000316115,30,0,30,
0.03600000000332868,30,0,30,
0.037000000003496215,30,0,30,
0.03800000000366375,30,0,30,
0.03900000000383128,30,0,30,
0.040000000003998816,30,0,30,
0.04100000000416635,30,0,30,
0.04200000000433388,30,0,30,
0.04300000000450142,30,0,30,
0.04400000000466895,30,0,30,
0.045000000004836484,30,0,30,
0.04600000000500402,30,0,30,
0.04700000000517155,30,0,30,
0.048000000005339084,30,0,30,
0.04900000000550662,30,0,30,
0.05000000000567415,30,0,30,

Molecule,poly_A,Site Index,2,Site Type, A
Time, Free, Bound,State0,A_B_binding,
0.0,30,0,30,0,
0.001000000000002041,28,2,30,2,
0.002000009999996102,26,4,30,4,
0.0030000099999901633,25,5,30,5,
0.0040000099999842244,24,6,30,6,
0.005000009999978286,28,2,30,2,
0.006000009999972347,23,7,30,7,
0.007000009999966408,26,4,30,4,
0.00800000999996047,23,7,30,7,
0.00900000999995453,26,4,30,4,
0.010000009999948592,22,8,30,8,
0.011000009999942653,22,8,30,8,
0.012000009999936714,23,7,30,7,
0.013000009999930775,26,4,30,4,
0.014000009999924836,23,7,30,7,
0.015000009999918898,23,7,30,7,
0.016000009999978013,24,6,30,6,
0.017000000000145545,22,8,30,8,
0.018000000000313078,23,7,30,7,
0.01900000000048061,21,9,30,9,
0.020000000000648145,20,10,30,10,
0.02100000000081568,27,3,30,3,
0.022000000000983212,27,3,30,3,
0.023000000001150746,24,6,30,6,
0.02400000000131828,22,8,30,8,
0.025000000001485813,24,6,30,6,
0.026000000001653346,26,4,30,4,
0.02700000000182088,24,6,30,6,
0.028000000001988413,20,10,30,10,
0.029000000002155947,25,5,30,5,
0.03000000000232348,23,7,30,7,
0.031000000002491014,23,7,30,7,
0.03200000000265855,25,5,30,5,
0.03300000000282608,23,7,30,7,
0.034000000002993615,24,6,30,6,
0.03500000000316115,23,7,30,7,
0.03600000000332868,24,6,30,6,
0.037000000003496215,20,10,30,10,
0.03800000000366375,25,5,30,5,
0.03900000000383128,19,11,30,11,
0.040000000003998816,24,6,30,6,
0.04100000000416635,22,8,30,8,
0.04200000000433388,20,10,30,10,
0.04300000000450142,23,7,30,7,
0.04400000000466895,22,8,30,8,
0.045000000004836484,22,8,30,8,
0.04600000000500402,23,7,30,7,
0.04700000000517155,23,7,30,7,
0.048000000005339084,25,5,30,5,
0.04900000000550662,24,6,30,6,
0.05000000000567415,20,10,30,10,

Molecule,poly_A,Site Index,3,Site Type, L_a
Time, Free, Bound,State0,
0.0,30,0,30,
0.001000000000002041,30,0,30,
0.002000009999996102,30,0,30,
0.0030000099999901633,30,0,30,
0.0040000099999842244,30,0,30,
0.005000009999978286,30,0,30,
0.006000009999972347,30,0,30,
0.007000009999966408,30,0,30,
0.00800000999996047,30,0,30,
0.00900000999995453,30,0,30,
0.010000009999948592,30,0,30,
